elo_rank,country_code,elo_rating,peak_elo,peak_rank,average_elo,lowest_elo,collected_at
148,BW,1267,1438,150,1167,996,2026-07-11T13:27:38.901177+00:00
149,MT,1255,1435,118,1322,1155,2026-07-11T13:27:38.901177+00:00
150,GW,1248,1415,126,1282,1178,2026-07-11T13:27:38.901177+00:00
151,CU,1239,1683,84,1439,1117,2026-07-11T13:27:38.901177+00:00
151,MW,1239,1590,115,1327,1093,2026-07-11T13:27:38.901177+00:00
153,CF,1236,1417,124,1295,1177,2026-07-11T13:27:38.901177+00:00
154,GF,1223,1396,125,1246,1109,2026-07-11T13:27:38.901177+00:00
155,YT,1216,1233,157,1202,1124,2026-07-11T13:27:38.901177+00:00
156,TM,1209,1547,117,1358,1205,2026-07-11T13:27:38.901177+00:00
157,CG,1207,1690,83,1470,1207,2026-07-11T13:27:38.901177+00:00
158,ER,1201,1246,164,1158,1056,2026-07-11T13:27:38.901177+00:00
159,LS,1198,1325,151,1179,1102,2026-07-11T13:27:38.901177+00:00
160,YE,1195,1367,144,1212,1078,2026-07-11T13:27:38.901177+00:00
161,PH,1179,1355,135,1070,681,2026-07-11T13:27:38.901177+00:00
162,TI,1177,1591,103,1386,1137,2026-07-11T13:27:38.901177+00:00
163,SW,1148,1347,153,1168,1062,2026-07-11T13:27:38.901177+00:00
164,VC,1141,1500,110,1322,1030,2026-07-11T13:27:38.901177+00:00
165,PG,1135,1223,165,1091,1017,2026-07-11T13:27:38.901177+00:00
165,PR,1135,1167,169,937,829,2026-07-11T13:27:38.901177+00:00
167,SG,1134,1415,134,1228,1041,2026-07-11T13:27:38.901177+00:00
168,IN,1128,1685,110,1341,1029,2026-07-11T13:27:38.901177+00:00
169,BM,1117,1432,128,1284,1083,2026-07-11T13:27:38.901177+00:00
169,VU,1117,1263,156,1104,960,2026-07-11T13:27:38.901177+00:00
171,SS,1109,1155,178,1088,1018,2026-07-11T13:27:38.901177+00:00
172,FJ,1104,1466,129,1246,1069,2026-07-11T13:27:38.901177+00:00
173,HK,1101,1535,123,1288,1058,2026-07-11T13:27:38.901177+00:00
174,GD,1098,1548,102,1370,1060,2026-07-11T13:27:38.901177+00:00
175,AD,1080,1130,182,1050,952,2026-07-11T13:27:38.901177+00:00
176,MU,1073,1634,108,1334,930,2026-07-11T13:27:38.901177+00:00
176,TD,1073,1318,136,1243,1073,2026-07-11T13:27:38.901177+00:00
176,BZ,1073,1201,139,1114,1034,2026-07-11T13:27:38.901177+00:00
179,SB,1054,1378,147,1183,1041,2026-07-11T13:27:38.901177+00:00
180,MF,1043,1120,187,983,756,2026-07-11T13:27:38.901177+00:00
181,ST,1035,1116,174,1056,985,2026-07-11T13:27:38.901177+00:00
182,KN,1030,1388,138,1175,1002,2026-07-11T13:27:38.901177+00:00
183,GI,1011,1151,178,1081,1002,2026-07-11T13:27:38.901177+00:00
184,JS,1005,1005,188,1004,995,2026-07-11T13:27:38.901177+00:00
185,LC,1003,1353,126,1240,978,2026-07-11T13:27:38.901177+00:00
186,EH,996,996,189,996,996,2026-07-11T13:27:38.901177+00:00
187,MM,984,1676,124,1243,896,2026-07-11T13:27:38.901177+00:00
188,AW,979,1443,125,1198,880,2026-07-11T13:27:38.901177+00:00
188,SO,979,1218,166,1072,835,2026-07-11T13:27:38.901177+00:00
190,SX,974,976,187,908,757,2026-07-11T13:27:38.901177+00:00
191,MS,972,1022,191,642,526,2026-07-11T13:27:38.901177+00:00
192,AF,961,1166,167,919,778,2026-07-11T13:27:38.901177+00:00
193,GL,945,1035,185,974,945,2026-07-11T13:27:38.901177+00:00
194,BD,942,1115,181,980,796,2026-07-11T13:27:38.901177+00:00
195,DJ,940,942,178,872,748,2026-07-11T13:27:38.901177+00:00
196,DM,935,1330,132,1196,933,2026-07-11T13:27:38.901177+00:00
197,PK,909,1458,154,1101,788,2026-07-11T13:27:38.901177+00:00
198,MC,903,909,199,900,890,2026-07-11T13:27:38.901177+00:00
199,BB,898,1406,121,1243,898,2026-07-11T13:27:38.901177+00:00
200,AG,895,1319,145,1178,895,2026-07-11T13:27:38.901177+00:00
200,LI,895,1242,167,1113,895,2026-07-11T13:27:38.901177+00:00
202,NP,893,1008,190,889,729,2026-07-11T13:27:38.901177+00:00
203,KH,871,1390,157,1058,677,2026-07-11T13:27:38.901177+00:00
204,SC,853,1123,182,987,842,2026-07-11T13:27:38.901177+00:00
205,LK,836,1045,161,932,648,2026-07-11T13:27:38.901177+00:00
206,SM,825,1015,195,917,770,2026-07-11T13:27:38.901177+00:00
207,TW,822,1767,144,1169,760,2026-07-11T13:27:38.901177+00:00
208,BQ,816,1130,150,1036,816,2026-07-11T13:27:38.901177+00:00
209,MV,801,1174,191,884,712,2026-07-11T13:27:38.901177+00:00
210,KY,800,1140,183,1000,795,2026-07-11T13:27:38.901177+00:00
211,HG,782,805,211,783,773,2026-07-11T13:27:38.901177+00:00
